contentID,contentType,title,originTitle,description,releaseDate,releaseYear,publicDate,runtime,thumbnailURL,mainImage,originLang,productionCountry,registeredAt,updatedAt,availableCountry,videoQuality
1,영화,기생충,Parasite,가난한 가족과 부유한 가족 사이의 미묘한 관계를 그린 블랙 코미디.,2019-05-30,2019,2019-10-11,132,img/content/sub기생충.jpg,img/content/기생충.jpg,한국어,대한민국,2022-12-14,2023-04-17,대한민국,HD
2,영화,아이리시맨,The Irishman,한 남자의 시선을 통해 미국 범죄 조직의 역사를 그린 작품.,2019-09-27,2019,2019-11-27,209,img/content/sub아이리시맨.jpg,img/content/아이리시맨.jpg,영어,미국,2024-05-25,2024-12-20,미국,4K
3,드라마,기묘한 이야기,Stranger Things,인디애나 주의 작은 마을에서 소년의 실종과 함께 시작되는 미스터리한 사건들.,2016-07-15,2016,2016-07-15,50,img/content/sub기묘한 이야기.jpg,img/content/기묘한 이야기.jpg,영어,미국,2023-05-23,2024-02-01,미국,HD
4,드라마,킹덤,Kingdom,조선 시대를 배경으로 한 좀비 스릴러 드라마.,2019-01-25,2019,2019-01-25,45,img/content/sub킹덤.jpg,img/content/킹덤.jpg,한국어,대한민국,2022-09-09,2023-11-28,대한민국,4K
5,영화,결혼 이야기,Marriage Story,이혼을 앞둔 부부의 감정과 갈등을 그린 드라마.,2019-08-29,2019,2019-12-06,137,img/content/sub결혼 이야기.jpg,img/content/결혼 이야기.jpg,영어,미국,2024-07-08,2024-10-07,미국,HD
6,드라마,다크,Dark,독일의 작은 마을에서 시작된 시간 여행과 가족의 비밀을 다룬 드라마.,2017-12-01,2017,2017-12-01,60,img/content/sub다크.jpg,img/content/다크.jpg,독일어,독일,2023-07-13,2024-01-20,독일,HD
7,영화,로마,Roma,1970년대 멕시코시티의 한 가정의 이야기를 그린 흑백 영화.,2018-08-30,2018,2018-12-14,135,img/content/sub로마.jpg,img/content/로마.jpg,스페인어,멕시코,2023-01-25,2023-01-26,멕시코,4K
8,드라마,오렌지 이즈 더 뉴 블랙,Orange Is the New Black,여성 교도소에서 벌어지는 다양한 이야기를 그린 드라마.,2013-07-11,2013,2013-07-11,59,img/content/sub오렌지 이즈 더 뉴 블랙.jpg,img/content/오렌지 이즈 더 뉴 블랙.jpg,영어,미국,2023-09-26,2024-11-19,미국,HD
9,영화,버드 박스,Bird Box,보이지 않는 존재로부터 살아남기 위한 한 여성의 사투를 그린 스릴러.,2018-11-12,2018,2018-12-21,124,img/content/sub버드 박스.jpg,img/content/버드 박스.jpg,영어,미국,2023-12-09,2024-01-31,미국,HD
10,드라마,종이의 집,La Casa de Papel,스페인 조폐국을 점거한 강도들의 이야기를 그린 범죄 드라마.,2017-05-02,2017,2017-05-02,70,img/content/sub종이의 집.jpg,img/content/종이의 집.jpg,스페인어,스페인,2024-05-16,2024-10-20,스페인,HD
11,영화,익스트랙션,Extraction,납치된 소년을 구하기 위한 용병의 이야기를 그린 액션 영화.,2020-04-24,2020,2020-04-24,117,img/content/sub익스트랙션.jpg,img/content/익스트랙션.jpg,영어,미국,2023-12-14,2024-09-23,미국,4K
12,드라마,브리저튼,Bridgerton,19세기 런던 사교계를 배경으로 한 로맨스 드라마.,2020-12-25,2020,2020-12-25,57,img/content/sub브리저튼.jpg,img/content/브리저튼.jpg,영어,미국,2022-03-15,2024-09-18,미국,4K
13,영화,트라이얼 오브 더 시카고 7,The Trial of the Chicago 7,1968년 민주당 전당대회 시위를 둘러싼 재판을 그린 드라마.,2020-09-25,2020,2020-10-16,129,img/content/sub트라이얼 오브 더 시카고 7.jpg,img/content/트라이얼 오브 더 시카고 7.jpg,영어,미국,2022-06-03,2025-02-10,미국,HD
14,드라마,퀸스 갬빗,The Queen's Gambit,체스 신동 소녀의 성장과 성공을 그린 드라마.,2020-10-23,2020,2020-10-23,60,img/content/sub퀸스 갬빗.jpg,img/content/퀸스 갬빗.jpg,영어,미국,2022-04-14,2025-03-27,미국,4K
15,영화,엔올라 홈즈,Enola Holmes,셜록 홈즈의 여동생 엔올라의 모험을 그린 미스터리 영화.,2020-09-23,2020,2020-09-23,123,img/content/sub엔올라 홈즈.jpg,img/content/엔올라 홈즈.jpg,영어,영국,2024-04-14,2025-02-06,영국,HD
16,영화,Society of the Snow,Society of the Snow,1972년 안데스 비행기 사고 생존자들의 72일간의 생존 투쟁을 그린 영화.,2024-01-04,2024,2024-01-04,144,img/content/subSociety of the Snow.jpg,img/content/Society of the Snow.jpg,영어,스페인,2025-04-09,2025-04-09,스페인,4K
17,영화,Good Grief,Good Grief,"단 레비가 감독하고 출연한 코미디 영화로,  상실과 자기 발견을 다룸.",2024-01-05,2024,2024-01-05,100,img/content/subGoodGrief.jpg,img/content/subGoodGrief.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
18,영화,Lift,Lift,"케빈 하트 주연의 히스트 코미디로,  비행기 안에서 불가능한 강도를 실행.",2024-01-11,2024,2024-01-11,103,img/content/subLift.jpg,img/content/Lift.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
19,영화,Damsel,Damsel,"밀리 바비 브라운 주연의 판타지 액션 영화로,  왕자와의 결혼 후 희생 제물로 선택됨.",2024-03-08,2024,2024-03-08,113,img/content/subDamsel.jpg,img/content/Damsel.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
20,영화,Atlas,Atlas,"제니퍼 로페즈 주연의 SF 영화로,  미스터리한 오브젝트를 포획하기 위한 임무를 다룸.",2024-05-24,2024,2024-05-24,126,img/content/subAtlas.jpg,img/content/Atlas.jpg,영어,미국,2025-04-09,2025-04-09,미국,4K
21,드라마,Avatar: The Last Airbender,Avatar: The Last Airbender,애니메이션 시리즈의 실사화로  아앙이 네 가지 원소를 마스터하며 세계를 구함.,2024-02-22,2024,2024-02-22,60,img/content/subAvatar: The Last Airbender.jpg,img/content/Avatar: The Last Airbender.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
22,드라마,Bridgerton Season 3,Bridgerton Season 3,레전시 시대 런던의 브리지턴 가족의 새로운 로맨스와 스캔들을 다룸.,2024-05-16,2024,2024-05-16,65,img/content/subBridgerton Season 3.jpg,img/content/Bridgerton Season 3.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
23,드라마,One Day,One Day,"데이비드 니콜스의 소설 기반으로,  에마와 덱스터의 20년간의 삶을 다룸.",2024-02-08,2024,2024-02-08,60,img/content/subOne Day.jpg,img/content/One Day.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
24,드라마,Ripley,Ripley,"패트리샤 하이스미스의 소설 기반으로,  사기꾼 톰 리플리의 기만과 살인을 다룸.",2024-04-04,2024,2024-04-04,60,img/content/subRipley.jpg,img/content/Ripley.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
25,드라마,Squid Game Season 2,Squid Game Season 2,치명적인 게임에서 생존을 건 선수들의 이야기를 계속 다룸.,2024-12-26,2024,2024-12-26,60,img/content/subSquid Game Season 2.jpg,img/content/Squid Game Season 2.jpg,한국어,대한민국,2025-04-09,2025-04-09,대한민국,4K
26,영화,Wallace & Gromit: Vengeance Most Fowl,Wallace & Gromit: Vengeance Most Fowl,월리스와 그로밋의 새로운 모험을 그린 애니메이션 영화.,2025-01-03,2025,2025-01-03,95,img/content/subWallace.jpg,img/content/Wallace.jpg,영어,영국,2025-04-09,2025-04-09,영국,HD
27,영화,Ad Vitam,Ad Vitam,불멸의 삶을 발견한 남자의 위험한 여정을 다룬 프랑스 액션 스릴러.,2025-01-10,2025,2025-01-10,120,img/content/subAd Vitam.jpg,img/content/Ad Vitam.jpg,프랑스어,프랑스,2025-04-09,2025-04-09,프랑스,HD
28,영화,The Roshans,The Roshans,인도 영화계의 로샨 가족 이야기를 다룬 다큐멘터리 영화.,2025-01-17,2025,2025-01-17,90,img/content/subRoshans.jpg,img/content/Roshans.jpg,힌디어,인도,2025-04-09,2025-04-09,인도,HD
29,영화,The Sand Castle,The Sand Castle,사막이나 해변을 배경으로 한 미스터리와 모험을 다룬 영화.,2025-01-24,2025,2025-01-24,110,img/content/subThe Sand Castle.jpg,img/content/The Sand Castle.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
30,영화,The Addams Family,The Addams Family,애덤스 가족의 새로운 모험을 그린 애니메이션 영화.,2025-04-09,2025,2025-04-09,100,img/content/subAddams.jpg,img/content/Addams.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
31,드라마,Missing You,Missing You,11년 전 약혼자가 재등장하며 삶이 뒤흔들리는 형사의 이야기를 다룸.,2025-01-01,2025,2025-01-01,50,img/content/subMissing You.jpg,img/content/Missing You.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
32,드라마,Love Is Blind: Germany Season 1,Love Is Blind: Germany Season 1,독일판 러브 이즈 블라인드에서 싱글들이 만나기 전 약혼.,2025-01-03,2025,2025-01-03,60,img/content/subLove.jpg,img/content/Love.jpg,독일어,독일,2025-04-09,2025-04-09,독일,HD
33,드라마,American Primeval,American Primeval,미국 개척 시대의 잔혹한 현실을 다양한 인물의 시각으로 다룸.,2025-01-09,2025,2025-01-09,60,img/content/subAmerican.jpg,img/content/American.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
34,드라마,Castlevania Nocturne Season 2,Castlevania Nocturne Season 2,리히터 벨몬트가 프랑스 혁명 시기 뱀파이어와 싸우는 이야기.,2025-01-16,2025,2025-01-16,60,img/content/subCastlevania.jpg,img/content/Castlevania.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
35,드라마,Love on the Spectrum Season 3,Love on the Spectrum Season 3,자폐 스펙트럼을 가진 이들의 데이트와 관계를 다룸.,2025-04-02,2025,2025-04-02,60,img/content/subSpectrum.jpg,img/content/Spectrum.jpg,영어,미국,2025-04-09,2025-04-09,미국,HD
